Date,Bar Name,Brand Name,Consumed (ml)
2023-01-01,Anderson's Bar,Bacardi,0.0
2023-01-01,Anderson's Bar,Jim Beam,0.0
2023-01-01,Anderson's Bar,Miller,0.0
2023-01-01,Anderson's Bar,Sutter Home,0.0
2023-01-01,Anderson's Bar,Captain Morgan,0.0
2023-01-01,Anderson's Bar,Grey Goose,0.0
2023-01-01,Anderson's Bar,Coors,0.0
2023-01-01,Anderson's Bar,Yellow Tail,0.0
2023-01-01,Anderson's Bar,Absolut,0.0
2023-01-01,Anderson's Bar,Jack Daniels,0.0
2023-01-01,Anderson's Bar,Malibu,0.0
2023-01-01,Anderson's Bar,Jameson,0.0
2023-01-01,Anderson's Bar,Smirnoff,0.0
2023-01-01,Anderson's Bar,Barefoot,0.0
2023-01-01,Anderson's Bar,Heineken,0.0
2023-01-01,Anderson's Bar,Budweiser,0.0
2023-01-01,Brown's Bar,Bacardi,0.0
2023-01-01,Brown's Bar,Jim Beam,0.0
2023-01-01,Brown's Bar,Miller,0.0
2023-01-01,Brown's Bar,Sutter Home,0.0
2023-01-01,Brown's Bar,Captain Morgan,0.0
2023-01-01,Brown's Bar,Grey Goose,0.0
2023-01-01,Brown's Bar,Coors,0.0
2023-01-01,Brown's Bar,Yellow Tail,0.0
2023-01-01,Brown's Bar,Absolut,0.0
2023-01-01,Brown's Bar,Jack Daniels,0.0
2023-01-01,Brown's Bar,Malibu,0.0
2023-01-01,Brown's Bar,Jameson,0.0
2023-01-01,Brown's Bar,Smirnoff,0.0
2023-01-01,Brown's Bar,Barefoot,0.0
2023-01-01,Brown's Bar,Heineken,0.0
2023-01-01,Brown's Bar,Budweiser,0.0
2023-01-01,Johnson's Bar,Bacardi,0.0
2023-01-01,Johnson's Bar,Jim Beam,0.0
2023-01-01,Johnson's Bar,Miller,0.0
2023-01-01,Johnson's Bar,Sutter Home,0.0
2023-01-01,Johnson's Bar,Captain Morgan,0.0
2023-01-01,Johnson's Bar,Grey Goose,0.0
2023-01-01,Johnson's Bar,Coors,0.0
2023-01-01,Johnson's Bar,Yellow Tail,0.0
2023-01-01,Johnson's Bar,Absolut,0.0
2023-01-01,Johnson's Bar,Jack Daniels,0.0
2023-01-01,Johnson's Bar,Malibu,0.0
2023-01-01,Johnson's Bar,Jameson,0.0
2023-01-01,Johnson's Bar,Smirnoff,0.0
2023-01-01,Johnson's Bar,Barefoot,0.0
2023-01-01,Johnson's Bar,Heineken,0.0
2023-01-01,Johnson's Bar,Budweiser,0.0
2023-01-01,Smith's Bar,Bacardi,0.0
2023-01-01,Smith's Bar,Jim Beam,0.0
2023-01-01,Smith's Bar,Miller,0.0
2023-01-01,Smith's Bar,Sutter Home,0.0
2023-01-01,Smith's Bar,Captain Morgan,0.0
2023-01-01,Smith's Bar,Grey Goose,0.0
2023-01-01,Smith's Bar,Coors,0.0
2023-01-01,Smith's Bar,Yellow Tail,0.0
2023-01-01,Smith's Bar,Absolut,0.0
2023-01-01,Smith's Bar,Jack Daniels,0.0
2023-01-01,Smith's Bar,Malibu,0.0
2023-01-01,Smith's Bar,Jameson,0.0
2023-01-01,Smith's Bar,Smirnoff,0.0
2023-01-01,Smith's Bar,Barefoot,0.0
2023-01-01,Smith's Bar,Heineken,0.0
2023-01-01,Smith's Bar,Budweiser,0.0
2023-01-01,Taylor's Bar,Bacardi,0.0
2023-01-01,Taylor's Bar,Jim Beam,0.0
2023-01-01,Taylor's Bar,Miller,0.0
2023-01-01,Taylor's Bar,Sutter Home,0.0
2023-01-01,Taylor's Bar,Captain Morgan,0.0
2023-01-01,Taylor's Bar,Grey Goose,0.0
2023-01-01,Taylor's Bar,Coors,0.0
2023-01-01,Taylor's Bar,Yellow Tail,0.0
2023-01-01,Taylor's Bar,Absolut,0.0
2023-01-01,Taylor's Bar,Jack Daniels,0.0
2023-01-01,Taylor's Bar,Malibu,0.0
2023-01-01,Taylor's Bar,Jameson,0.0
2023-01-01,Taylor's Bar,Smirnoff,0.0
2023-01-01,Taylor's Bar,Barefoot,0.0
2023-01-01,Taylor's Bar,Heineken,0.0
2023-01-01,Taylor's Bar,Budweiser,0.0
2023-01-01,Thomas's Bar,Bacardi,0.0
2023-01-01,Thomas's Bar,Jim Beam,0.0
2023-01-01,Thomas's Bar,Miller,0.0
2023-01-01,Thomas's Bar,Sutter Home,0.0
2023-01-01,Thomas's Bar,Captain Morgan,0.0
2023-01-01,Thomas's Bar,Grey Goose,0.0
2023-01-01,Thomas's Bar,Coors,0.0
2023-01-01,Thomas's Bar,Yellow Tail,0.0
2023-01-01,Thomas's Bar,Absolut,0.0
2023-01-01,Thomas's Bar,Jack Daniels,0.0
2023-01-01,Thomas's Bar,Malibu,0.0
2023-01-01,Thomas's Bar,Jameson,0.0
2023-01-01,Thomas's Bar,Smirnoff,0.0
2023-01-01,Thomas's Bar,Barefoot,0.0
2023-01-01,Thomas's Bar,Heineken,0.0
2023-01-01,Thomas's Bar,Budweiser,0.0
2023-01-02,Anderson's Bar,Bacardi,0.0
2023-01-02,Anderson's Bar,Jim Beam,0.0
2023-01-02,Anderson's Bar,Miller,0.0
2023-01-02,Anderson's Bar,Sutter Home,0.0
2023-01-02,Anderson's Bar,Captain Morgan,0.0
2023-01-02,Anderson's Bar,Grey Goose,0.0
2023-01-02,Anderson's Bar,Coors,440.55
2023-01-02,Anderson's Bar,Yellow Tail,0.0
2023-01-02,Anderson's Bar,Absolut,118.62
2023-01-02,Anderson's Bar,Jack Daniels,0.0
2023-01-02,Anderson's Bar,Malibu,0.0
2023-01-02,Anderson's Bar,Jameson,0.0
2023-01-02,Anderson's Bar,Smirnoff,0.0
2023-01-02,Anderson's Bar,Barefoot,0.0
2023-01-02,Anderson's Bar,Heineken,0.0
2023-01-02,Anderson's Bar,Budweiser,0.0
2023-01-02,Brown's Bar,Bacardi,134.75
2023-01-02,Brown's Bar,Jim Beam,0.0
2023-01-02,Brown's Bar,Miller,0.0
2023-01-02,Brown's Bar,Sutter Home,0.0
2023-01-02,Brown's Bar,Captain Morgan,0.0
2023-01-02,Brown's Bar,Grey Goose,0.0
2023-01-02,Brown's Bar,Coors,0.0
2023-01-02,Brown's Bar,Yellow Tail,535.95
2023-01-02,Brown's Bar,Absolut,376.31
2023-01-02,Brown's Bar,Jack Daniels,200.99
2023-01-02,Brown's Bar,Malibu,0.0
2023-01-02,Brown's Bar,Jameson,0.0
2023-01-02,Brown's Bar,Smirnoff,0.0
2023-01-02,Brown's Bar,Barefoot,0.0
2023-01-02,Brown's Bar,Heineken,0.0
2023-01-02,Brown's Bar,Budweiser,0.0
2023-01-02,Johnson's Bar,Bacardi,0.0
2023-01-02,Johnson's Bar,Jim Beam,0.0
2023-01-02,Johnson's Bar,Miller,0.0
2023-01-02,Johnson's Bar,Sutter Home,0.0
2023-01-02,Johnson's Bar,Captain Morgan,0.0
2023-01-02,Johnson's Bar,Grey Goose,0.0
2023-01-02,Johnson's Bar,Coors,225.46
2023-01-02,Johnson's Bar,Yellow Tail,217.93
2023-01-02,Johnson's Bar,Absolut,0.0
2023-01-02,Johnson's Bar,Jack Daniels,0.0
2023-01-02,Johnson's Bar,Malibu,0.0
2023-01-02,Johnson's Bar,Jameson,301.07
2023-01-02,Johnson's Bar,Smirnoff,543.16
2023-01-02,Johnson's Bar,Barefoot,0.0
2023-01-02,Johnson's Bar,Heineken,0.0
2023-01-02,Johnson's Bar,Budweiser,0.0
2023-01-02,Smith's Bar,Bacardi,0.0
2023-01-02,Smith's Bar,Jim Beam,0.0
2023-01-02,Smith's Bar,Miller,0.0
2023-01-02,Smith's Bar,Sutter Home,506.75
2023-01-02,Smith's Bar,Captain Morgan,0.0
2023-01-02,Smith's Bar,Grey Goose,212.64
2023-01-02,Smith's Bar,Coors,0.0
2023-01-02,Smith's Bar,Yellow Tail,0.0
2023-01-02,Smith's Bar,Absolut,0.0
2023-01-02,Smith's Bar,Jack Daniels,366.87
2023-01-02,Smith's Bar,Malibu,0.0
2023-01-02,Smith's Bar,Jameson,0.0
2023-01-02,Smith's Bar,Smirnoff,0.0
2023-01-02,Smith's Bar,Barefoot,0.0
2023-01-02,Smith's Bar,Heineken,0.0
2023-01-02,Smith's Bar,Budweiser,0.0
2023-01-02,Taylor's Bar,Bacardi,0.0
2023-01-02,Taylor's Bar,Jim Beam,0.0
2023-01-02,Taylor's Bar,Miller,0.0
2023-01-02,Taylor's Bar,Sutter Home,0.0
2023-01-02,Taylor's Bar,Captain Morgan,0.0
2023-01-02,Taylor's Bar,Grey Goose,475.98
2023-01-02,Taylor's Bar,Coors,310.2
2023-01-02,Taylor's Bar,Yellow Tail,0.0
2023-01-02,Taylor's Bar,Absolut,0.0
2023-01-02,Taylor's Bar,Jack Daniels,0.0
2023-01-02,Taylor's Bar,Malibu,497.71
2023-01-02,Taylor's Bar,Jameson,114.08
2023-01-02,Taylor's Bar,Smirnoff,0.0
2023-01-02,Taylor's Bar,Barefoot,0.0
2023-01-02,Taylor's Bar,Heineken,0.0
2023-01-02,Taylor's Bar,Budweiser,0.0
2023-01-02,Thomas's Bar,Bacardi,0.0
2023-01-02,Thomas's Bar,Jim Beam,0.0
2023-01-02,Thomas's Bar,Miller,0.0
2023-01-02,Thomas's Bar,Sutter Home,0.0
2023-01-02,Thomas's Bar,Captain Morgan,533.8
2023-01-02,Thomas's Bar,Grey Goose,0.0
2023-01-02,Thomas's Bar,Coors,0.0
2023-01-02,Thomas's Bar,Yellow Tail,0.0
2023-01-02,Thomas's Bar,Absolut,0.0
2023-01-02,Thomas's Bar,Jack Daniels,0.0
2023-01-02,Thomas's Bar,Malibu,0.0
2023-01-02,Thomas's Bar,Jameson,143.76
2023-01-02,Thomas's Bar,Smirnoff,345.11
2023-01-02,Thomas's Bar,Barefoot,0.0
2023-01-02,Thomas's Bar,Heineken,0.0
2023-01-02,Thomas's Bar,Budweiser,0.0
2023-01-03,Anderson's Bar,Bacardi,0.0
2023-01-03,Anderson's Bar,Jim Beam,363.32
2023-01-03,Anderson's Bar,Miller,0.0
2023-01-03,Anderson's Bar,Sutter Home,0.0
2023-01-03,Anderson's Bar,Captain Morgan,0.0
2023-01-03,Anderson's Bar,Grey Goose,0.0
2023-01-03,Anderson's Bar,Coors,0.0
2023-01-03,Anderson's Bar,Yellow Tail,0.0
2023-01-03,Anderson's Bar,Absolut,0.0
2023-01-03,Anderson's Bar,Jack Daniels,0.0
2023-01-03,Anderson's Bar,Malibu,0.0
2023-01-03,Anderson's Bar,Jameson,0.0
2023-01-03,Anderson's Bar,Smirnoff,264.7
2023-01-03,Anderson's Bar,Barefoot,479.09
2023-01-03,Anderson's Bar,Heineken,0.0
2023-01-03,Anderson's Bar,Budweiser,0.0
2023-01-03,Brown's Bar,Bacardi,467.87
2023-01-03,Brown's Bar,Jim Beam,227.73
2023-01-03,Brown's Bar,Miller,0.0
2023-01-03,Brown's Bar,Sutter Home,309.29
2023-01-03,Brown's Bar,Captain Morgan,0.0
2023-01-03,Brown's Bar,Grey Goose,0.0
2023-01-03,Brown's Bar,Coors,0.0
2023-01-03,Brown's Bar,Yellow Tail,0.0
2023-01-03,Brown's Bar,Absolut,0.0
2023-01-03,Brown's Bar,Jack Daniels,0.0
2023-01-03,Brown's Bar,Malibu,0.0
2023-01-03,Brown's Bar,Jameson,0.0
2023-01-03,Brown's Bar,Smirnoff,0.0
2023-01-03,Brown's Bar,Barefoot,0.0
2023-01-03,Brown's Bar,Heineken,394.25
2023-01-03,Brown's Bar,Budweiser,0.0
2023-01-03,Johnson's Bar,Bacardi,0.0
2023-01-03,Johnson's Bar,Jim Beam,0.0
2023-01-03,Johnson's Bar,Miller,0.0
2023-01-03,Johnson's Bar,Sutter Home,0.0
2023-01-03,Johnson's Bar,Captain Morgan,0.0
2023-01-03,Johnson's Bar,Grey Goose,0.0
2023-01-03,Johnson's Bar,Coors,479.89
2023-01-03,Johnson's Bar,Yellow Tail,0.0
2023-01-03,Johnson's Bar,Absolut,0.0
2023-01-03,Johnson's Bar,Jack Daniels,0.0
2023-01-03,Johnson's Bar,Malibu,538.18
2023-01-03,Johnson's Bar,Jameson,0.0
2023-01-03,Johnson's Bar,Smirnoff,0.0
2023-01-03,Johnson's Bar,Barefoot,0.0
2023-01-03,Johnson's Bar,Heineken,0.0
2023-01-03,Johnson's Bar,Budweiser,0.0
2023-01-03,Smith's Bar,Bacardi,0.0
2023-01-03,Smith's Bar,Jim Beam,508.02
2023-01-03,Smith's Bar,Miller,0.0
2023-01-03,Smith's Bar,Sutter Home,0.0
2023-01-03,Smith's Bar,Captain Morgan,0.0
2023-01-03,Smith's Bar,Grey Goose,0.0
2023-01-03,Smith's Bar,Coors,0.0
2023-01-03,Smith's Bar,Yellow Tail,0.0
2023-01-03,Smith's Bar,Absolut,0.0
2023-01-03,Smith's Bar,Jack Daniels,0.0
2023-01-03,Smith's Bar,Malibu,0.0
2023-01-03,Smith's Bar,Jameson,0.0
2023-01-03,Smith's Bar,Smirnoff,0.0
2023-01-03,Smith's Bar,Barefoot,0.0
2023-01-03,Smith's Bar,Heineken,0.0
2023-01-03,Smith's Bar,Budweiser,345.15
2023-01-03,Taylor's Bar,Bacardi,424.95
2023-01-03,Taylor's Bar,Jim Beam,0.0
2023-01-03,Taylor's Bar,Miller,0.0
2023-01-03,Taylor's Bar,Sutter Home,0.0
2023-01-03,Taylor's Bar,Captain Morgan,0.0
2023-01-03,Taylor's Bar,Grey Goose,350.14
2023-01-03,Taylor's Bar,Coors,0.0
2023-01-03,Taylor's Bar,Yellow Tail,0.0
2023-01-03,Taylor's Bar,Absolut,0.0
2023-01-03,Taylor's Bar,Jack Daniels,0.0
2023-01-03,Taylor's Bar,Malibu,0.0
2023-01-03,Taylor's Bar,Jameson,400.99
2023-01-03,Taylor's Bar,Smirnoff,0.0
2023-01-03,Taylor's Bar,Barefoot,0.0
2023-01-03,Taylor's Bar,Heineken,229.88
2023-01-03,Taylor's Bar,Budweiser,0.0
2023-01-03,Thomas's Bar,Bacardi,382.12
2023-01-03,Thomas's Bar,Jim Beam,230.66
2023-01-03,Thomas's Bar,Miller,0.0
2023-01-03,Thomas's Bar,Sutter Home,166.29
2023-01-03,Thomas's Bar,Captain Morgan,0.0
2023-01-03,Thomas's Bar,Grey Goose,561.63
2023-01-03,Thomas's Bar,Coors,0.0
2023-01-03,Thomas's Bar,Yellow Tail,0.0
2023-01-03,Thomas's Bar,Absolut,0.0
2023-01-03,Thomas's Bar,Jack Daniels,0.0
2023-01-03,Thomas's Bar,Malibu,0.0
2023-01-03,Thomas's Bar,Jameson,0.0
2023-01-03,Thomas's Bar,Smirnoff,0.0
2023-01-03,Thomas's Bar,Barefoot,0.0
2023-01-03,Thomas's Bar,Heineken,0.0
2023-01-03,Thomas's Bar,Budweiser,0.0
2023-01-04,Anderson's Bar,Bacardi,0.0
2023-01-04,Anderson's Bar,Jim Beam,0.0
2023-01-04,Anderson's Bar,Miller,0.0
2023-01-04,Anderson's Bar,Sutter Home,112.16
2023-01-04,Anderson's Bar,Captain Morgan,0.0
2023-01-04,Anderson's Bar,Grey Goose,0.0
2023-01-04,Anderson's Bar,Coors,544.08
2023-01-04,Anderson's Bar,Yellow Tail,0.0
2023-01-04,Anderson's Bar,Absolut,0.0
2023-01-04,Anderson's Bar,Jack Daniels,0.0
2023-01-04,Anderson's Bar,Malibu,0.0
2023-01-04,Anderson's Bar,Jameson,0.0
2023-01-04,Anderson's Bar,Smirnoff,0.0
2023-01-04,Anderson's Bar,Barefoot,0.0
2023-01-04,Anderson's Bar,Heineken,0.0
2023-01-04,Anderson's Bar,Budweiser,0.0
2023-01-04,Brown's Bar,Bacardi,0.0
